Name,CODE,AreaName,RegName,DevName,val1,val2,val3,val4,val4,val5,val6,val7,val8,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,AFG,Asia,Southern Asia,Developing regions,10,20,30,30,70,100,110,90,100,60,150,460,410,400,200,220,200,150,250,270,100,20,40,70,80,110,180,140,560
Albania,ALB,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,10,80,40,30,30,100,90,80,80,70,110,110,200,250,140,130,110,110,140
Algeria,DZA,Africa,Northern Africa,Developing regions,10,50,30,10,20,20,10,10,20,20,20,30,20,20,20,20,20,20,10,30,20,30,60,20,20,50,30,30,60
American Samoa,ASM,Oceania,Polynesia,Developing regions,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Andorra,AND,Europe,Southern Europe,Developed regions,0,0,10,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,10,0,10,10,0,10,10,0,10,10
Angola,AGO,Africa,Middle Africa,Developing regions,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,20,10,10,20,30,20
Anguilla,AIA,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,10,10,10,10,10,0,0
Argentina,ARG,Latin America and the Caribbean,South America,Developing regions,570,640,850,520,400,540,650,630,630,660,740,730,520,290,310,370,350,290,340,350,380,430,500,580,560,450,430,460,490
Armenia,ARM,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,10,20,30,60,50,30,30,30,20,20,40,30,30,40,20,40,60
Aruba,ABW,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Australia,AUS,Oceania,Australia and New Zealand,Developed regions,280,180,170,150,120,150,100,50,10,10,0,0,0,0,0,0,0,0,0,0,10,10,10,10,590,700,140,220,780
Austria,AUT,Europe,Western Europe,Developed regions,4100,3510,5120,1670,1040,970,1230,1480,1480,1050,770,510,600,570,790,660,600,640,590,600,700,1050,1070,1050,800,650,790,570,600
Azerbaijan,AZE,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,20,10,20,20,20,30,20,40,30,50,30
Bahamas,BHM,Latin America and the Caribbean,Caribbean,Developing regions,10,20,0,20,20,20,20,40,40,0,10,0,10,0,20,0,10,10,10,10,10,20,20,20,20,20,30,20,20
Bahrain,BHR,Asia,Western Asia,Developing regions,70,100,80,160,160,140,150,130,230,140,150,70,120,150,160,210,180,160,130,160,160,210,250,250,380,460,490,240,220
Bangladesh,BGD,Asia,Southern Asia,Developing regions,170,180,220,140,170,220,190,150,270,270,400,600,690,360,690,1050,900,520,600,900,1180,1480,1810,2870,2970,1860,2570,3680,3160
Barbados,BRB,Latin America and the Caribbean,Caribbean,Developing regions,0,0,0,10,10,20,10,20,20,20,10,10,20,10,10,0,10,10,10,10,10,10,30,10,10,20,10,10,10
Belarus,BLR,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,10,10,40,40,30,40,30,30,20,30,40,50,40,70,50,60,60
Belgium,BEL,Europe,Western Europe,Developed regions,230,270,400,280,260,270,290,310,370,290,270,250,300,350,400,350,360,350,330,390,440,480,450,480,410,410,480,530,560
Belize,BLZ,Latin America and the Caribbean,Central America,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,0,0,10,0,0
Benin,BEN,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,10,10,10,0,0,90,210
Bermuda,BMU,Northern America,Northern America,Developed regions,20,20,30,30,20,20,20,30,30,30,40,20,10,30,20,40,30,20,20,20,20,40,40,40,40,20,50,30,50
Bhutan,BTN,Asia,Southern Asia,Developing regions,0,0,10,10,0,10,0,0,0,10,10,10,10,10,10,20,20,20,20,30,40,30,50,40,80,70,90,100,150
Bolivia (Plurinational State of),BOL,Latin America and the Caribbean,South America,Developing regions,20,30,20,30,30,30,30,30,50,30,30,20,40,30,20,40,50,50,40,50,30,30,40,40,40,40,50,50,50
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,2470,2140,1120,1600,700,560,370,310,240,240,240,250,300,320
Botswana,BWA,Africa,Southern Africa,Developing regions,20,40,40,80,40,50,60,80,60,80,80,80,100,130,170,240,200,210,340,230,420,420,450,590,390,260,200,230,260
Canada,CAN,Northern America,Northern America,Developed regions,2920,3770,3830,3170,3030,3390,3440,3480,3780,4220,4420,4380,3970,3820,4400,4920,5140,5280,5170,5380,5710,6050,6240,6430,6350,6520,6700,7020,7930
Germany,DEU,Europe,Western Europe,Developed regions,3300,4620,7140,5160,2800,2700,2980,3410,3370,3010,2950,2890,2820,2920,3390,3820,3640,3520,4180,4390,4650,5180,5170,5390,4870,4980,5240,6110,6710
Iceland,ISL,Europe,Northern Europe,Developed regions,50,40,50,50,30,30,40,40,10,20,40,40,40,40,20,30,30,20,10,30,20,20,30,30,30,50,30,40,50
Japan,JPN,Asia,Eastern Asia,Developed regions,2240,2980,2930,3200,3250,3760,4130,4930,6080,6950,8090,8500,8910,8930,9750,10270,10170,10800,10380,10230,10930,21200,24810,19030,11900,10920,10370,10640,10230
New Zealand,NZL,Oceania,Australia and New Zealand,Developed regions,34370,34440,23920,13620,16900,27070,31240,31610,43960,34060,21670,16680,16410,16140,19530,23400,25600,28120,32500,40200,47230,45570,29500,28000,40710,44680,45550,39120,46960
Sweden,SWE,Europe,Northern Europe,Developed regions,550,580,610,410,480,470,640,880,1030,1030,1170,1020,880,870,830,980,1050,1090,1180,1480,1630,1890,1880,1760,1360,1270,1350,1430,1440
United Kingdom,GBR,Europe,Northern Europe,Developed regions,43540,57050,51730,31660,25150,27630,35910,38980,45550,44620,45860,42820,36580,34720,36180,39040,40540,42010,42700,49310,51000,52940,57330,70150,53140,53300,57250,61490,65160
United States of America,USA,Northern America,Northern America,Developed regions,10470,12080,12490,11110,11840,12480,12600,13140,13720,14410,14300,13810,13290,13260,15020,16450,16440,16760,18300,18740,18030,19230,18950,18980,18540,18490,17320,19260,20860