Name,val0,val1,vsal2,val3,val4,val5,val6,val7,val8
Afghanistan,100,20,40,70,80,110,180,140,560
Albania,110,110,200,250,140,130,110,110,140
Algeria,20,30,60,20,20,50,30,30,60
American Samoa,0,0,0,0,0,0,0,0,10
Andorra,0,10,10,0,10,10,0,10,10
Angola,10,10,10,20,10,10,20,30,20
Anguilla,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,10,0,10,10,10,10,10,0,0
Argentina,380,430,500,580,560,450,430,460,490
Armenia,20,20,40,30,30,40,20,40,60
Aruba,0,0,0,0,0,0,0,0,0
Australia,10,10,10,10,590,700,140,220,780
Austria,700,1050,1070,1050,800,650,790,570,600
Azerbaijan,20,20,20,30,20,40,30,50,30
Bahamas,10,20,20,20,20,20,30,20,20
Bahrain,160,210,250,250,380,460,490,240,220
Bangladesh,1180,1480,1810,2870,2970,1860,2570,3680,3160
Barbados,10,10,30,10,10,20,10,10,10
Belarus,20,30,40,50,40,70,50,60,60
Belgium,440,480,450,480,410,410,480,530,560
Belize,0,0,0,10,0,0,10,0,0
Benin,0,10,10,10,10,0,0,90,210
Bermuda,20,40,40,40,40,20,50,30,50
Bhutan,40,30,50,40,80,70,90,100,150
Bolivia (Plurinational State of),30,30,40,40,40,40,50,50,50
Bosnia and Herzegovina,560,370,310,240,240,240,250,300,320
Botswana,420,420,450,590,390,260,200,230,260
Brazil,540,680,700,810,1430,2050,2910,3370,4010
British Virgin Islands,0,0,10,10,0,0,0,10,20
Brunei Darussalam,680,770,800,880,800,630,750,630,820
Bulgaria,150,160,140,110,160,110,130,130,130
Burkina Faso,0,0,0,0,0,10,0,10,0
Burundi,0,0,0,0,0,0,10,20,10
Cabo Verde,0,0,0,0,0,0,0,0,0
Cambodia,470,660,800,830,720,620,880,970,980
Cameroon,10,10,0,10,20,10,30,70,100
Canada,5710,6050,6240,6430,6350,6520,6700,7020,7930
Cayman Islands,10,10,20,30,30,20,10,60,40
Central African Republic,0,0,0,0,0,0,0,0,0
Chad,0,0,10,10,10,10,0,0,0
Chile,470,510,560,590,610,720,800,980,1020
China,16700,22220,29000,33410,29860,28820,32190,42920,54300
Colombia,350,490,610,650,490,680,1160,1990,2350
Comoros,0,0,0,0,0,0,0,0,0
Congo,0,0,10,10,10,10,90,100,70
Cook Islands,110,110,70,80,180,150,160,160,170
Costa Rica,10,30,30,30,20,40,50,30,50
Côte d'Ivoire,10,0,10,0,10,10,0,0,0
Croatia,950,830,580,510,360,590,400,270,340
Cuba,30,10,30,10,40,30,30,30,40
Cyprus,270,360,350,330,200,200,310,220,200
Czech Republic,200,270,280,440,360,330,400,380,370
Democratic People's Republic of Korea,0,0,0,10,0,0,0,0,0
Democratic Republic of the Congo,0,0,0,0,0,0,0,10,20
Denmark,700,850,790,750,650,630,620,600,630
Djibouti,10,20,30,20,20,10,10,20,0
Dominica,10,10,10,20,0,0,0,10,10
Dominican Republic,0,0,0,0,0,10,20,0,20
Ecuador,70,70,80,90,90,70,70,100,120
Egypt,1090,1380,1840,2890,4070,3800,2960,2000,1520
El Salvador,70,50,60,70,50,50,40,40,100
Equatorial Guinea,0,0,0,0,0,0,0,0,0
Eritrea,20,20,20,20,20,30,20,70,30
Estonia,20,40,30,40,30,50,80,120,270
Ethiopia,260,230,300,300,270,280,430,520,690
Faeroe Islands,0,0,0,0,0,0,10,0,0
Falkland Islands (Malvinas),10,10,10,10,10,0,10,0,10
Fiji,2790,3040,2500,2710,2860,2890,4120,2820,3510
Finland,300,330,300,350,310,350,350,390,410
France,2570,2770,2790,2750,2950,3210,3620,4330,4910
French Guiana,0,0,0,0,0,0,0,0,0
French Polynesia,70,80,60,60,80,100,140,120,130
Gabon,0,0,0,0,0,0,10,0,10
Gambia,0,10,20,0,10,10,20,20,20
Georgia,20,20,10,10,20,0,20,30,20
Germany,4650,5180,5170,5390,4870,4980,5240,6110,6710
Ghana,110,130,130,170,370,650,690,670,510
Gibraltar,10,10,0,10,0,10,0,10,0
Greece,2170,2010,2300,1880,1300,1380,1260,1190,1130
Greenland,0,0,0,0,0,0,0,0,0
Grenada,0,0,10,0,0,0,0,10,0
Guadeloupe,0,0,0,0,0,0,0,0,0
Guam,20,40,50,30,40,50,40,70,50
Guatemala,20,20,30,20,10,20,20,10,30
Guinea,70,260,180,310,430,1250,950,880,1010
Guinea-Bissau,0,0,0,0,0,0,0,0,0
Guyana,0,10,10,10,10,10,10,0,10
Haiti,0,0,0,0,0,0,0,0,0
Holy See,0,0,0,0,0,0,0,0,0
Honduras,10,10,10,20,10,10,10,10,20
Hungary,330,450,430,430,350,390,380,480,520
Iceland,20,20,30,30,30,50,30,40,50
India,10390,9380,9240,15080,18310,19920,27880,41920,58400
Indonesia,13640,15390,13650,13840,8970,7960,8350,8370,9960
United Kingdom,640,710,1140,1490,1250,1490,2320,2600,2310
Iraq,250,50,140,50,240,300,520,650,1300
Ireland,5050,5500,5490,6040,4560,4410,4630,6130,8930
Israel,1070,1240,1460,1320,1030,1040,980,1230,1000
Italy,1750,1890,1690,1810,2250,2250,2560,2590,2840
Jamaica,30,50,30,60,40,20,30,30,50
Japan,10930,21200,24810,19030,11900,10920,10370,10640,10230
Jordan,790,700,910,1030,820,1190,980,760,1230
Kazakhstan,50,70,80,80,50,80,80,100,120
Kenya,1010,1440,1810,2690,2760,2370,2180,1800,2030
Kiribati,60,70,90,50,90,100,70,90,70
Kuwait,200,270,230,290,220,220,260,270,400
Kyrgyzstan,20,10,30,50,30,30,20,50,70
Lao People's Democratic Republic,250,250,250,230,170,170,220,220,320
Latvia,70,70,80,100,50,90,60,60,80
Lebanon,2970,2770,2600,3000,2840,2710,3110,2500,10450
Lesotho,10,10,30,20,10,10,10,10,10
Liberia,0,0,10,0,0,0,20,30,50
Libya,10,50,20,50,40,30,60,100,220
Liechtenstein,0,0,0,0,0,0,0,0,10
Lithuania,30,50,60,70,40,40,40,40,80
Luxembourg,20,30,30,30,40,20,40,40,30
Madagascar,20,10,0,10,10,10,10,10,20
Malawi,20,50,100,110,150,90,150,290,110
Malaysia,10900,12520,14810,16880,12540,13130,13890,13540,14950
Maldives,110,120,130,180,140,90,80,100,140
Mali,0,0,0,0,0,10,0,10,20
Malta,190,170,230,250,290,250,250,230,250
Marshall Islands,10,10,10,10,20,10,10,10,20
Martinique,0,0,0,0,0,0,10,0,0
Mauritania,10,120,30,10,0,40,30,100,150
Mauritius,680,720,840,1010,780,850,1200,1660,3160
Mayotte,0,0,0,0,0,0,0,0,0
Mexico,180,240,370,410,400,380,470,490,610
Micronesia (Federated States of),10,20,10,20,10,30,20,10,10
Monaco,0,10,10,0,10,10,20,20,20
Mongolia,40,60,50,80,130,130,100,150,240
Montserrat,0,0,0,0,0,0,0,0,10
Morocco,30,40,40,60,50,50,70,80,60
Mozambique,50,80,60,90,70,60,50,70,100
Myanmar,220,280,260,260,310,320,450,610,620
Namibia,40,60,60,90,50,70,50,80,70
Nauru,60,60,170,60,220,110,150,70,280
Nepal,570,520,510,460,580,780,1890,6700,10720
Netherlands,2360,2250,2080,2330,1900,1870,1980,1940,2030
New Caledonia,260,300,300,260,630,490,450,470,490
New Zealand,47230,45570,29500,28000,40710,44680,45550,39120,46960
Nicaragua,10,10,0,10,10,10,20,20,20
Niger,30,20,10,10,10,0,20,10,50
Nigeria,120,220,160,170,180,220,290,290,360
Niue,0,0,10,0,20,10,10,10,10
Northern Mariana Islands,0,0,0,0,0,0,0,0,10
Norway,2020,2660,2610,2420,1280,890,840,780,800
Oman,200,290,460,750,440,320,300,350,430
Pakistan,2050,1770,1860,2570,2540,3360,4580,7030,6450
Palau,10,10,10,10,20,20,0,10,10
Panama,10,0,10,10,10,20,10,20,30
Papua New Guinea,1390,1530,1440,1340,1710,1630,2020,1930,2340
Paraguay,20,10,20,10,10,20,10,10,20
Peru,200,220,220,310,300,460,580,860,1050
Philippines,4750,4650,5290,5460,7160,8070,10040,11160,13760
Poland,610,730,930,1010,1100,910,950,880,890
Portugal,190,230,290,320,360,350,320,340,390
Puerto Rico,0,0,0,0,10,10,10,0,10
Qatar,60,110,210,400,260,250,310,340,330
Republic of Korea,5630,7420,8650,9640,10210,11670,13950,15390,17240
Republic of Moldova,30,20,30,40,10,40,30,20,40
Réunion,20,20,30,20,40,80,100,120,110
Romania,350,410,370,390,360,340,300,310,290
Russian Federation,530,820,960,900,960,1010,960,1170,1510
Rwanda,10,10,0,20,10,0,50,40,20
Saint Helena,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,10,0,0,0,0,0,10
Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0
Samoa,270,320,280,280,420,320,410,330,460
Saudi Arabia,560,680,740,980,750,1010,1210,2490,4430
Senegal,10,0,20,10,0,10,20,70,90
Seychelles,80,110,140,150,110,150,100,110,100
Sierra Leone,0,10,10,10,20,50,110,100,90
Singapore,12080,15390,17310,16020,16340,17520,19350,16990,18080
Slovakia,150,220,310,410,360,260,270,260,220
Slovenia,180,240,220,140,80,130,140,120,130
Solomon Islands,230,130,160,150,310,250,250,290,250
Somalia,40,30,30,30,30,30,20,30,60
South Africa,9180,10590,8850,9890,7090,7900,7970,8790,13450
Spain,650,690,790,750,1000,950,1010,1130,1400
Sri Lanka,2660,2870,3210,3050,2590,3410,4330,5620,6820
State of Palestine,10,10,10,10,0,0,0,10,0
Sudan,440,360,220,340,600,300,480,500,360
Suriname,0,0,0,0,0,10,0,10,10
Swaziland,20,20,10,20,20,20,30,20,20
Sweden,1630,1890,1880,1760,1360,1270,1350,1430,1440
Switzerland,1490,1880,1760,1580,1240,1270,1140,1200,1310
Syrian Arab Republic,510,450,500,680,720,940,1480,1330,1870
Tajikistan,10,0,0,10,0,0,10,10,10
Thailand,5070,6970,7690,7900,7630,8370,9990,11750,13350
The former Yugoslav Republic of Macedonia,430,620,580,620,500,510,610,650,660
Timor-Leste,50,170,200,180,280,170,970,450,370
Togo,0,0,0,0,0,0,10,0,30
Tokelau,10,0,0,0,10,10,30,10,20
Tonga,320,310,270,260,330,330,350,390,640
Trinidad and Tobago,20,20,20,50,30,40,60,30,60
Tunisia,10,0,30,30,10,0,30,20,10
Turkey,1900,1890,2470,2490,1850,1720,1690,1860,2080
Turkmenistan,0,10,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0
Tuvalu,30,10,20,20,30,20,20,20,10
Uganda,60,140,270,420,770,670,930,820,460
Ukraine,240,290,310,290,360,420,360,410,420
United Arab Emirates,1080,1920,2630,3140,2760,3660,4680,3760,4160
United Kingdom of Great Britain and Northern Ireland,51000,52940,57330,70150,53140,53300,57250,61490,65160
United Republic of Tanzania,110,120,170,200,200,930,890,1280,760
United States of America,18030,19230,18950,18980,18540,18490,17320,19260,20860
United States Virgin Islands,0,0,0,0,0,0,0,0,0
Uruguay,110,100,140,140,80,110,90,90,100
Uzbekistan,30,30,50,70,80,70,60,80,110
Vanuatu,140,170,160,150,400,350,390,400,400
Venezuela (Bolivarian Republic of),110,120,130,130,130,180,160,160,250
Viet Nam,3430,3800,4410,4840,4500,5110,6610,8310,11210
Wallis and Futuna Islands,0,0,0,0,10,0,0,0,0
Western Sahara,0,0,0,0,0,0,0,0,0
Yemen,20,60,40,150,40,20,10,40,40
Zambia,100,190,260,430,370,240,410,410,400
Zimbabwe,910,1500,1670,2330,1790,1560,1880,2180,2270